model_s,tail_num,mfg,model,updated,comment
ad6595,N962WN,BOEING,B737,1464739201,B737
ac8b43,N907XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab9078,N844UA,AIRBUS INDUSTRIE,A319-131,1464739200,
ad00e3,N937NN,BOEING,737-823,1464739200,
a50549,N422YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
ac4107,N889UA,AIRBUS,A319-132,1464739200,
ad2573,N946WN,BOEING,B737,1464739201,B737
a682e3,N519AE,BOMBARDIER INC,CL-600-2C10,1464739200,
acd0cf,N925AT,,B712,1464739201,B717-231
a3a235,N333NW,,A320,1464739201,A320-211
ac8287,N905J,,CRJ9,1464739201,Emb.145LR
a0acf8,N14230,BOEING,737-824,1464739200,
a42680,N367CA,,CRJ7,1464739201,CL-600-2C10 CRJ-700
abdcbe,N8633A,BOEING,737-8H4,1464739200,
a09cad,N139AN,AIRBUS,A321-231,1464739200,
a7101e,N554UW,,A321,1464739201,A321-231
a96877,N705PS,,CRJ7,1464739201,CRJ7
a10e21,N16701,BOEING,737-724,1464739200,
a83781,N62883,BOEING,737-924ER,1464739200,
a19e61,N203NN,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a8ec57,N674UA,,B763,1464739201,B767-322 (ER)
a13b66,N179JB,,E190,1464739201,ERJ-190-100AR
aaf0ce,N804AW,,A319,1464739201,A319-132
a697cf,N524AE,BOMBARDIER INC,CL-600-2C10,1464739200,
a977a2,N709SW,BOEING,B737,1464739201,B737
ac91d4,N909NN,,B738,1464739201,B738
aa568e,N76502,,B738,1464739201,B737-824/W
a95c89,N702FR,AIRBUS,A321-211,1464739200,
a05ad4,N12175,EMBRAER,EMB-145XR,1464739200,
aca788,N914WN,BOEING,B737,1464739201,B737-7H4/W
a67407,N515AE,,CRJ7,1464739201,CL-600-2C10 CRJ-701
ab4af1,N827AW,,A319,1464739201,A319-132
ab9b9d,N847UA,,A319,1464739201,A319-131
a7f40f,N611SK,,CRJ7,1464739201,CRJ7
a4421d,N3736C,,B738,1464739201,B737-832
ad0822,N939LR,BOMBARDIER INC,CL-600-2D24,1464739200,
a70c67,N553UW,AIRBUS,A321-231,1464739200,
a14fe0,N184DN,BOEING,767-332,1464739200,
a44969,N3755D,,B738,1464739201,B737-832/W
abdc76,N86309,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a4f5a4,N419AW,,CRJ2,1464739201,CRJ2
a12d67,N175SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a01f73,N107HQ,,E170,1464739201,ERJ-170-200LR
aa72f5,N7721E,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a9d413,N732SK,BOMBARDIER INC,CL-600-2C10,1464739200,
ac018c,N873AS,,CRJ2,1464739201,CRJ2
a78d6b,N586NN,BOMBARDIER INC,CL-600-2D24,1464739200,
aaffaa,N808AW,,A319,1464739201,A319-132
a6a7dc,N528NK,,A319,1464739201,A319-132
aa77c0,N7739A,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a61219,N490WN,BOEING,737-7H4,1464739200,
ab967b,N846DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a3a0ed,N33294,,B738,1464739201,B737-824
a443e8,N374NW,,A320,1464739201,A320-212
a51b1a,N428UA,,A320,1464739201,A320-232
a94b08,N69816,BOEING,737-924ER,1464739200,
a5e949,N480HA,BOEING 717-22A,B712,1466992601,HAWAIIAN AIRLINES
a9d59f,N73256,,B738,1464739201,B737-824
a4e146,N413WN,BOEING,B737,1464739201,B737
aa26c8,N753SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a50900,N423YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
ab48e8,N826UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a326d1,N302AS,BOEING,737-990,1464739200,
a89d22,N654RW,,E170,1464739201,Emb.170-100SE
a62e03,N498CA,,CRJ2,1464739201,CL-600-2B19 CRJ-200ER
a43b85,N372DA,BOEING,737-832,1464739200,
aa7b10,N7746C,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
ad0d3a,N940AT,BOEING,717-200,1464739200,
a1cd4e,N215NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
abd5bb,N8616C,BOEING,737-8H4,1464739200,
a14502,N181GJ,CANADAIR CRJ-900LR,CRJ9,1466992601,GOJET AIRLINES
a437ce,N371DA,,B738,1464739201,B737-832
a87d48,N646UA,,B763,1464739201,B767-322 (ER)
a9653d,N704US,AIRBUS INDUSTRIE,A319-112,1464739200,
a10d82,N167US,AIRBUS INDUSTRIE,A321-211,1464739200,
a73e6d,N566NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a987aa,N713EV,BOMBARDIER INC,CL-600-2C10,1464739200,
aaa1bb,N7840A,BOEING,737-73V,1466168187,
abaa43,N8504G,BOEING,737-8H4,1466168187,
a9df2f,N735SA,BOEING,B737,1464739201,B737-7H4/W
abbdfa,N856DN,BOEING,737-932ER,1466168187,
a05a49,N12136,EMBRAER,EMB-145XR,1464739200,
acc5a5,N922AN,BOEING,737-823,1464739200,
aceb76,N931XJ,,CRJ9,1464739201,CRJ9
ad3581,N950JT,AIRBUS,A321-231,1464739200,
aa01de,N744EV,,CRJ7,1464739201,CRJ7
aa4322,N760SK,,CRJ7,1464739201,CRJ7
a6192b,N492SW,CANADAIR,CL-600-2B19,1464739200,
a657bf,N508AY,,A321,1464739201,A321-231
a7f7a0,N612QX,,CRJ7,1464739201,CRJ7
a700a4,N550NN,BOMBARDIER INC,CL-600-2D24,1464739200,
ab38a1,N822DN,BOEING,737-932ER,1464739200,
ad072a,N939AT,BOEING,717-200,1464739200,
aca01a,N912WN,BOEING,737-7H4,1464739200,
a94b29,N69824,BOEING,737-924ER,1466168187,
a4dd8f,N412WN,BOEING,B737,1464739201,B737-7H4/W
acd2be,N925WN,BOEING,B737,1464739201,B737
a871ec,N643RW,EMBRAER,ERJ 170-100 SE,1464739200,
a54c11,N440QX,BOMBARDIER INC,DHC-8-402,1464739200,
abaa0e,N8502Z,BOEING,737-8H4,1466168187,
aa55ee,N765US,AIRBUS INDUSTRIE,A319-112,1464739200,
aa56d4,N76522,BOEING,737-824,1464739200,
a1a1b6,N204JQ,,E170,1464739201,E170
a92ea0,N691CA,BOMBARDIER INC,CL-600-2D24,1464739200,
aa7aa6,N7743B,BOEING,737-7BD,1464739200,
acc259,N921EV,,CRJ2,1464739201,CRJ2
a27aee,N259WN,BOEING,737-7H4,1464739200,
abe8b6,N8669B,BOEING,737-8H4,1464739200,
a2c338,N27724,BOEING,737-724,1464739200,
aa97d1,N7819A,BOEING,737-7Q8,1464739200,
a79122,N587NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a0cf8d,N151SY,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a72ca2,N561WN,BOEING 737-73V,B737,1466992601,SOUTHWEST AIRLINES
a53f20,N437WN,BOEING,737-7H4,1464739200,
aa466f,N761ND,,CRJ7,1464739201,CRJ7
ab6020,N832DN,BOEING,737-932ER,1464739200,
acab11,N915US,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a51eb3,N429SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a52cc8,N432YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a4b420,N402AS,BOEING 737-990,B739,1466992601,ALASKA AIRLINES
aac4c4,N793SK,,CRJ7,1464739201,CRJ7
abe2a3,N865NN,BOEING,737-823,1464739200,
a74a5a,N569WN,BOEING,737-7CT,1464739200,
a0d72b,N153UW,AIRBUS,A321-211,1464739200,
a4bdb9,N404YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a1dc2a,N219NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a08714,N133HQ,EMBRAER,ERJ 170-200 LR,1464739200,
a31533,N298WN,BOEING,737-7H4,1464739200,
a1ccec,N215JQ,,E170,1464739201,E170
a7fa2d,N613CZ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
aaeae5,N802SK,,CRJ9,1464739201,CRJ9
a211ef,N232WN,BOEING,B737,1464739201,B737-7H4/W
a7dd8e,N606AE,,E145,1464739201,E145
a897e4,N653AE,,E145,1464739201,ERJ-145LR
aaaddc,N7877H,BOEING,737-7Q8,1464739200,
a46ce1,N38424,,B739,1464739201,B737-924ER(WL)
a88ccf,N650AW,AIRBUS INDUSTRIE,A320-232,1464739200,
a8754d,N644NK,AIRBUS,A320-232,1464739200,
a6fb2e,N549US,BOEING,757-251,1464739200,
a2edb4,N288WN,BOEING,B737,1464739201,B737-7H4/W
a5810d,N454AW,,CRJ2,1464739201,CRJ2
adb7ee,N983SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
ace621,N930EV,BOMBARDIER INC,CL-600-2B19,1464739200,
ac426f,N8896A,,CRJ4,1464739201,CL-600-2B19 CRJ-440
a93604,N693BR,BOMBARDIER INC,CL-600-2B19,1464739200,
a22642,N238AK,BOEING,737-990ER,1464739200,
ab5b8c,N8306H,,B738,1464739201,B738
a94b2b,N69826,BOEING,737-924ER,1464739200,
abe3c8,N8650F,BOEING,737-8H4,1464739200,
a757ae,N572UW,AIRBUS INDUSTRIE,A321-231,1464739200,
aa9b82,N78285,,B738,1464739201,B737-824/W
a98b1d,N714CB,BOEING,B737,1464739201,B737
ad0919,N939WN,BOEING,B737,1464739201,B737
a80287,N615NK,AIRBUS,A320-232,1464739200,
a01112,N103NN,AIRBUS,A321-231,1464739200,
a3b124,N337PQ,CANADAIR CRJ-900,CRJ9,1466992601,DELTA CONNECTION
a9d626,N73291,BOEING,737-824,1464739200,
ace7bf,N930XJ,,CRJ9,1464739201,CL-600 2D24 CRJ-900
a89086,N651AW,,A320,1464739201,A320-232
ab04e6,N809SK,BOMBARDIER INC,CL-600-2D24,1464739200,
abd57e,N8614M,BOEING,737-8H4,1466168187,
ac8237,N905EV,,CRJ2,1464739201,CRJ2
a8856d,N64809,BOEING,737-932ER/W,1465690591,Boeing 737-932ER/W
a7d348,N603KC,,E145,1464739201,E145
abf7e2,N870RW,,E170,1464739201,ERJ-170-100SE
a5106e,N425YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
aa7b54,N7748A,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
a5320f,N434AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a0f886,N16151,EMBRAER,EMB-145XR,1464739200,
aa7685,N7730A,BOEING,B737,1464739201,B737
a34d63,N31131,EMBRAER,EMB-145XR,1464739200,
a41743,N36280,BOEING,737-824,1464739200,
a182f6,N197JB,EMBRAER,ERJ 190-100 IGW,1464739200,
ac7ac9,N903EV,BOMBARDIER INC,CL-600-2B19,1464739200,
a85d50,N638VA,AIRBUS,A320-214,1464739200,
ad4395,N954AT,,B712,1464739201,B717-2BD
a9f6b9,N741EV,,CRJ7,1464739201,CRJ7
ab6316,N8327A,BOEING,737-8H4,1464739200,
a0681c,N125UW,AIRBUS,A320-214,1464739200,
a95dba,N702TW,BOEING,757-2Q8,1464739200,
a639f5,N500AE,BOMBARDIER INC,CL-600-2C10,1464739200,
ad4fe1,N957NN,BOEING,737-823,1464739200,
a55767,N443SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a78ffa,N587AS,,B738,1464739201,B737-890
a5f46e,N483HA,BOEING,717-200,1464739200,
a76f6c,N57868,,B753,1464739201,B757-33N
ab4fae,N828MH,,B764,1464739201,B767-432 (ER)
a83dc1,N630AE,EMBRAER,EMB-145LR,1464739200,
a3cd58,N344NB,AIRBUS,A319-114,1464739200,
a7d32e,N603JB,AIRBUS,A320-232,1464739200,
acbfcf,N920SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a5d1f7,N474WN,BOEING,737-7H4,1464739200,
abf8ff,N8702L,BOEING 737-8 MAX,B738,1466992601,SOUTHWEST AIRLINES
aa35e1,N757UW,AIRBUS INDUSTRIE,A319-112,1464739200,
a7b133,N595NN,BOMBARDIER INC,CL-600-2D24,1466168186,
a7e276,N607NK,AIRBUS INDUSTRIE,A320-232,1464739200,
a1b1bc,N208WN,BOEING,B737,1464739201,B737-7H4/W
a56643,N447SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a868f7,N641AE,,E145,1464739201,ERJ-145LR
ac2b8e,N88310,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a16a02,N190UW,AIRBUS INDUSTRIE,A321-211,1464739200,
abe00f,N8640D,BOEING,737-8H4,1464739200,
a73b7e,N565WN,BOEING,737-76Q,1466168186,
a19f29,N203WN,BOEING,B737,1464739201,B737-7H4/W
aaa2f6,N7849A,BOEING,737-71B,1464739200,
a77e8f,N582NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a5196c,N428AW,,CRJ2,1464739201,CRJ2
aaed5a,N803DN,BOEING,737-932ER,1464739200,
a05910,N121SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
abb19c,N8523W,BOEING,737-8H4,1464739200,
ad2af2,N948AT,BOEING,717-200,1464739200,
a7456c,N568JB,AIRBUS,A320-232,1464739200,
acf946,N935LR,BOMBARDIER INC,CL-600-2D24,1464739200,
accd7e,N924EV,,CRJ2,1464739201,CRJ2
a3e5fa,N350NA,,A320,1464739201,A320-212
abe77a,N8660A,BOEING,737-8H4,1464739200,
a4076a,N359NB,,A319,1464739201,A319-114
a51ed1,N429UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a01c37,N106NN,AIRBUS INDUSTRIE,A321-231,1464739200,
a8b48f,N660DL,BOEING,757-232,1464739200,
ace063,N929JB,AIRBUS INDUSTRIE,A321-231,1464739200,
a36f7e,N320NB,AIRBUS INDUSTRIE,A319-114,1464739200,
a214de,N233NN,EMBRAER,ERJ 170-200 LR,1466168185,
adaeed,N981AT,,B712,1464739201,B717-2BD
a2b759,N274WN,BOEING,737-7H4,1464739200,
a5b786,N468CA,BOMBARDIER INC,CL-600-2B19,1464739200,
ad97dd,N975SW,BOMBARDIER INC,CL-600-2B19,1464739200,
aa1ba3,N750SK,,CRJ7,1464739201,CRJ7
a553b0,N442SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a5628c,N446SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
abd155,N8601C,,B738,1464739201,B738
a73059,N562WN,BOEING,737-790,1464739200,
a9bf32,N727SW,BOEING,B737,1464739201,B737-7H4/W
a55055,N441WN,BOEING,B737,1464739201,B737-7H4/W
a0ac92,N14203,,E145,1464739201,ERJ-145XR
a4f752,N419UA,,A320,1464739201,A320-232
a9a91a,N721UW,,A319,1464739201,A319-112
a65b76,N509AY,,A321,1464739201,A321-231
a8bf6e,N663AR,EMBRAER,EMB-145LR,1464739200,
a04b92,N118SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a2e045,N28478,BOEING,737-924ER,1464739200,
a4995f,N396DA,BOEING,737-832,1464739200,
ac03ef,N87303,EMBRAER S A,ERJ 170-200 LR,1464739200,
a21ed4,N236AK,BOEING,737-990ER,1466168185,
a60c09,N489WN,BOEING,737-7H4,1464739200,
ad6b14,N964AT,BOEING,717-200,1464739200,
a41632,N36207,BOEING,737-824,1464739200,
aa963e,N781WN,BOEING,737-7H4,1464739200,
a76f87,N57870,BOEING,757-33N,1464739200,
a1463a,N181UW,,A321,1464739201,A321-211
aca760,N914UY,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a1ac91,N207FR,,A320,1464739201,A320
abaa1a,N8503A,BOEING,737-8H4,1464739200,
a677ca,N516AS,BOEING,737-890,1464739200,
a8e132,N671UA,BOEING,767-322,1464739200,
a44cda,N3763D,,B738,1464739201,B737-832
a5f825,N484HA,BOEING,717-200,1464739200,
ab34ea,N821DN,BOEING,737-932ER,1464739200,
a48379,N390HA,AIRBUS A330-243,A332,1466992601,HAWAIIAN AIRLINES
a2d3b3,N281WN,BOEING,B737,1464739201,B737-7H4/W
a416be,N36247,BOEING,737-824,1464739200,
a95dd3,N702UW,AIRBUS INDUSTRIE,A319-112,1464739200,
ab5eb2,N8312C,BOEING,737-8H4,1464739200,
ad99fc,N976AN,,B738,1464739201,B737-823
a1a5cf,N205NN,EMBRAER S A,ERJ 170-200 LR,1466168185,
a0a9d0,N14173,EMBRAER,EMB-145XR,1464739200,
a81db0,N622AE,EMBRAER,EMB-145LR,1464739200,
aa970c,N7813P,BOEING,737-7K9,1464739200,
ad4eb5,N957AN,,B738,1464739201,B737-823
a7d725,N604LR,,CRJ9,1464739201,CL-600-2D24 CRJ-900
ad6758,N963AN,,B738,1464739201,B737-823/W
a13608,N17730,BOEING,B737,1464739201,B737-724/W
a3efa2,N35271,,B738,1464739201,B737-824/W
a3a0ca,N33284,BOEING,737-824,1464739200,
ac1f0e,N880NN,,B738,1464739201,B738
abb68c,N854DN,BOEING,737-932ER,1466168187,
a52911,N431YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
ab6247,N8321D,BOEING,737-8H4,1464739200,
a615d0,N491WN,BOEING,B737,1464739201,B737
a94b0b,N69819,BOEING,737-924ER,1464739200,
aa55c0,N765SW,BOEING,B737,1464739201,B737
a9e2e6,N736SA,BOEING,737-7H4,1464739200,
a0a98a,N14153,,E145,1464739201,EMB-145XR
a6b840,N532EA,BOMBARDIER INC,CL-600-2C10,1464739200,
a52fe8,N433SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a08acb,N134HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a091f3,N136EV,,CRJ9,1464739201,CRJ9
ab627c,N8322X,BOEING,737-8H4,1464739200,
ad6ecb,N965AT,BOEING,717-200,1464739200,
a067ec,N125SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
a382b6,N325US,AIRBUS INDUSTRIE,A320-211,1464739200,
ad6539,N962SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a0c5c6,N149SY,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a610c8,N490HA,,B712,1464739201,B712
abea11,N867NN,BOEING,737-823,1464739200,
ab313c,N820DX,BOEING,757-26D,1464739200,
a491f1,N394DA,,B738,1464739201,B737-832
acbf63,N920NN,BOEING,737-823,1464739200,
abedc8,N868NN,,B738,1464739201,B738
a70e7a,N554CA,BOMBARDIER INC,CL-600-2D24,1464739200,
a91e11,N687JS,,E145,1464739201,ERJ-145LR
a5b59d,N467WN,BOEING,B737,1464739201,B737
a2efae,N289CT,BOEING,B737,1464739201,B737-7H4/W
a2b060,N27205,BOEING,737-824,1464739200,
a14872,N182DN,,B763,1464739201,B767-332 (ER)
a4ca6a,N408AS,BOEING,737-990ER,1464739200,
acb1e5,N917NN,BOEING,737-823,1464739200,
a19691,N201JQ,,E170,1464739201,ERJ-170-200LR
a04bbe,N118US,,A320,1464739201,A320-214
a340d2,N309AS,,B739,1464739201,B737-990
a7dac4,N605KS,EMBRAER,EMB-145LR,1464739200,
a92b0c,N690DL,,B752,1464739201,B757-232
ad474c,N955AT,BOEING,717-200,1464739200,
ab28d7,N818UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a83043,N627AE,EMBRAER,EMB-145LR,1464739200,
a07522,N129AA,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
aa73e9,N7728D,BOEING,737-7BD,1464739200,
ab43c6,N825DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a794d9,N588NN,BOMBARDIER INC,CL-600-2D24,1466168186,
a38cd2,N328JB,EMBRAER,ERJ 190-100 IGW,1464739200,
abd994,N8627B,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a7d751,N604NK,AIRBUS,A320-232,1464739200,
a0480b,N117UW,AIRBUS INDUSTRIE,A320-214,1464739200,
a2439c,N245LR,BOMBARDIER INC,CL-600-2D24,1464739200,
acbea2,N920EV,,CRJ2,1464739201,CRJ2
a657ad,N508AE,,CRJ7,1464739201,CL-600-2C10 CRJ-700
a7d630,N604AW,,A320,1464739201,A320-232
a13501,N177US,AIRBUS INDUSTRIE,A321-211,1464739200,
abebe0,N8675A,BOEING,737-8H4,1464739200,
a4fbb4,N420AW,,CRJ2,1464739201,CRJ2
a32814,N302PQ,CANADAIR CRJ-900LR,CRJ9,1466992601,DELTA CONNECTION
ad5404,N958SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
aaa590,N78506,,B738,1464739201,B737-824/W
ac4c7d,N8918B,BOMBARDIER INC,CL-600-2B19,1464739200,
a717b6,N556WN,BOEING,B737,1464739201,B737
a39ac7,N331NW,,A320,1464739201,A320-211
a6e72d,N544EA,,CRJ7,1464739201,CRJ7
a8f258,N676DL,BOEING,757-232,1464739200,
a24dc1,N248AK,BOEING,737-990ER,1466168185,
a5e48a,N479WN,BOEING,B737,1464739201,B737
a2a26d,N269WN,BOEING,B737,1464739201,B737-7H4/W
a5424a,N438QX,,DH8D,1464739201,DH8D
a75ac7,N573NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a6d241,N539EA,BOMBARDIER INC,CL-600-2C10,1464739200,
ac08fa,N875AS,BOMBARDIER INC,CL-600-2B19,1464739200,
a4d011,N409WN,BOEING,737-7H4,1464739200,
a57d56,N453AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a8e32b,N672AE,EMBRAER,EMB-145LR,1464739200,
ad48df,N955SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200ER
a4d04c,N409YX,EMBRAER,ERJ 170-200 LR,1466168186,
ad5398,N958NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a7e691,N608SK,,CRJ7,1464739201,CRJ7
a1311e,N176SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
ac9723,N910EV,BOMBARDIER INC,CL-600-2B19,1464739200,
abdd6d,N8638A,BOEING,737-8H4,1464739200,
a7fb7d,N613SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a8251e,N624AE,EMBRAER,EMB-145LR,1464739200,
a13651,N17753,BOEING,737-7V3,1464739200,
a360e3,N317AS,,B739,1464739201,B737-990
a03ce6,N114UW,,A320,1464739201,A320-214
a81dbc,N622AS,BOEING,B737,1464739201,B737-790/W
a2af3e,N272PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a0c42c,N149AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
ac1547,N878NN,BOEING,737-823,1464739200,
ab483c,N826MD,,E170,1464739201,Emb.170-100SU
ad4afe,N956AN,BOEING,737-823,1464739200,
a882f8,N648AE,,E145,1464739201,ERJ-145LR
a9b4a4,N724YX,EMBRAER S A,ERJ 170-200 LR,1466168187,
ac41c0,N8891A,,CRJ2,1464739201,CRJ2
a4ea7f,N416AW,,CRJ2,1464739201,CL-600-2B19 CRJ-200ER
adacc9,N980SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
ad35e0,N950NN,BOEING,737-823,1464739200,
a2dda1,N284JB,,E190,1464739201,ERJ-190-100IGW
a403b3,N358NB,,A319,1464739201,A319-114
aaf5b1,N805NW,,A333,1464739201,A330-323 (X)
abae62,N8517F,BOEING,737-8H4,1466168187,
a4dba3,N412AW,,CRJ2,1464739201,CRJ2
a89076,N651AE,EMBRAER,EMB-145LR,1464739200,
a24aca,N247JB,EMBRAER,ERJ 190-100 IGW,1464739200,
ab30f0,N820AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a04424,N116SY,EMBRAER,ERJ 170-200 LR,1466168185,
a02cf1,N110HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a362a5,N317US,AIRBUS INDUSTRIE,A320-211,1464739200,
a20347,N229JQ,,,1464739201,
aae5a9,N801AW,AIRBUS INDUSTRIE,A319-132,1464739200,
a66239,N510JB,,A320,1464739201,A320-232
a29748,N266WN,BOEING,B737,1464739201,B737-7H4/W
ac767c,N9019F,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
aa4c87,N76288,,B738,1464739201,B737-824/W
a71aad,N557NW,,B752,1464739201,B757-251
a4460d,N37470,BOEING,737-924ER,1466168186,
a086ce,N133EV,BOMBARDIER INC,CL-600-2D24,1464739200,
a94bff,N69888,BOEING,737-924ER,1464739200,
a02e0a,N110UW,AIRBUS INDUSTRIE,A320-214,1464739200,
ac0417,N87318,EMBRAER ERJ-175,E170,1466992601,UNITED EXPRESS
ace9d8,N931EV,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a1e9ac,N222NS,EMBRAER,ERJ 170-200 LR,1464739200,
ab5975,N830MH,BOEING,767-432ER,1464739200,
aaf5a9,N805NN,,B738,1464739201,B738
a3183d,N299PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
ad20c5,N945LR,BOMBARDIER INC,CL-600-2D24,1466168188,
a3c246,N341NW,,A320,1464739201,A320-212
ad11eb,N941LT,,E145,1464739201,ERJ-145LR
a557c3,N443WN,BOEING,737-7H4,1464739200,
a8c6e8,N665BC,EMBRAER,EMB-145LR,1464739200,
a34bdc,N311PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
a27f07,N260AK,BOEING,737-990ER,1464739200,
acea6a,N931LR,BOMBARDIER INC,CL-600-2D24,1464739200,
a784d5,N584AS,,B738,1464739201,B737-890
a3866d,N326US,AIRBUS INDUSTRIE,A320-211,1464739200,
a37a3f,N323JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a95d96,N702SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a3c9b4,N343NW,,A320,1464739201,A320-212
ac03ee,N87302,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a5b768,N468AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a45051,N3771K,BOEING,737-832,1464739200,
a54c42,N440SW,BOMBARDIER INC,CL-600-2B19,1464739200,
ab6cb0,N835UA,,A319,1464739201,A319-131
ab5f43,N8316H,BOEING,737-8H4,1464739200,
a645df,N503JB,AIRBUS INDUSTRIE,A320-232,1464739200,
aa10ba,N748EV,,CRJ7,1464739201,CRJ7
a4b259,N401WN,BOEING,737-7H4,1464739200,
abe450,N8654B,BOEING,737-8H4,1464739200,
a299c8,N267JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a0be05,N147PQ,,CRJ9,1464739201,CRJ9
a61bed,N493HA,,B712,1464739201,B712
ac828f,N905JH,EMBRAER,EMB-145LR,1464739200,
ac219d,N881AS,BOMBARDIER INC,CL-600-2B19,1464739200,
a86cae,N642AE,EMBRAER,EMB-145LR,1464739200,
aa7409,N7729A,BOEING,737-76N,1464739200,
abd8c1,N8621A,BOEING,737-8H4,1464739200,
acc61e,N922FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a2597f,N250WN,BOEING,737-7H4,1464739200,
a4000f,N357NW,,A320,1464739201,A320-212
a54cd9,N440YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a20471,N229WN,BOEING,B737,1464739201,B737-7H4/W
a93257,N692CA,,CRJ9,1464739201,CRJ9
a64c88,N505AE,BOMBARDIER INC,CL-600-2C10,1464739200,
aa974f,N7815L,BOEING,737-76Q,1464739200,
a1c1c7,N212JQ,,E170,1464739201,E170
a15052,N184JB,,E190,1464739201,ERJ-190-100AR
a55aed,N444QX,,DH8D,1464739201,DH8D
a5ac43,N465AW,BOMBARDIER INC,CL-600-2B19,1464739200,
ad6d03,N964WN,BOEING,737-7H4,1464739200,
a5bd0b,N469WN,BOEING,737-7H4,1464739200,
a06703,N125HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
ad0725,N939AN,,B738,1464739201,B737-823
a94105,N696AE,,E145,1464739201,ERJ-145LR
abeb9f,N8673F,BOEING,737-8H4,1464739200,
a7cc2c,N601NK,,A320,1464739201,A320
ab6eb9,N836AW,,A319,1464739201,A319-132
